@timestamp	message
Aug 17, 2026 @ 16:00:04.999	I0817 16:00:04.999646    7833 utils.go:112] GRPC response: {}
Aug 17, 2026 @ 16:00:04.999	I0817 16:00:04.999590    7833 nodeserver.go:532] NodeStageVolume: volume csi-7b50c597452282667961c087ed1b05032119fa4b4628e6c91c3e43ce5486a0e0 is already mounted on /var/lib/kubelet/pods/66bfba8d-b871-4c3f-8a2b-32d377c1c821/volumes/kubernetes.io~csi/msrd-22-msrd-22-69470cfd37918d0f413109b7ebaa21a6e91824a61bc95d5/mount
Aug 17, 2026 @ 16:00:04.999	I0817 16:00:04.999628    7833 metrics.go:168] "Observed Request Latency" logger="logLatency" latency_seconds=0.022408163 request="azurefile_csi_driver_node_stage_volume" success="true" resource_group="com25-us-live-internal" source="file.csi.azure.com" volumeid="csi-7b50c597452282667961c087ed1b05032119fa4b4628e6c91c3e43ce5486a0e0"
Aug 17, 2026 @ 16:00:04.999	I0817 16:00:04.999638    7833 metrics.go:168] "Observed Request Latency" logger="logLatency" latency_seconds=0.022462834 request="azurefile_csi_driver_node_publish_volume" success="true"
Aug 17, 2026 @ 16:00:04.997	I0817 16:00:04.997169 3463646 nodeserver.go:532] NodeStageVolume: volume csi-759a1bb15771602f1835c4e4725e57b9125ae6fdb15b99532a1c0bb9d654a5a3 is already mounted on /var/lib/kubelet/pods/cf4ce72c-4dfb-48ea-85d8-28117d823d3a/volumes/kubernetes.io~csi/request-processor-req-processor-f8dd7eb6527501ab697cae617e38315/mount
Aug 17, 2026 @ 16:00:04.997	I0817 16:00:04.997219 3463646 metrics.go:168] "Observed Request Latency" logger="logLatency" latency_seconds=0.034644027 request="azurefile_csi_driver_node_stage_volume" success="true" resource_group="com68-us-live-internal" source="file.csi.azure.com" volumeid="csi-759a1bb15771602f1835c4e4725e57b9125ae6fdb15b99532a1c0bb9d654a5a3"
Aug 17, 2026 @ 16:00:04.997	I0817 16:00:04.997247 3463646 utils.go:112] GRPC response: {}
Aug 17, 2026 @ 16:00:04.997	I0817 16:00:04.997234 3463646 metrics.go:168] "Observed Request Latency" logger="logLatency" latency_seconds=0.034703605 request="azurefile_csi_driver_node_publish_volume" success="true"
Aug 17, 2026 @ 16:00:04.996	I0817 16:00:04.996610 3463646 metrics.go:168] "Observed Request Latency" logger="logLatency" latency_seconds=0.03405523 request="azurefile_csi_driver_node_publish_volume" success="true"
Aug 17, 2026 @ 16:00:04.996	I0817 16:00:04.996624 3463646 utils.go:112] GRPC response: {}
Aug 17, 2026 @ 16:00:04.996	I0817 16:00:04.996540 3463646 nodeserver.go:532] NodeStageVolume: volume csi-bf62b8b3e0e84933bc067255e0c9752d8ec796b7e4fff50e9787d44ecc706edc is already mounted on /var/lib/kubelet/pods/14dc6739-5c40-4188-a01a-023c2f2ce26a/volumes/kubernetes.io~csi/sparq-engine-t-0e429ce621df2abaacf475fc8db0523b6abd602427823eda/mount
Aug 17, 2026 @ 16:00:04.996	I0817 16:00:04.996593 3463646 metrics.go:168] "Observed Request Latency" logger="logLatency" latency_seconds=0.033986981 request="azurefile_csi_driver_node_stage_volume" success="true" resource_group="com68-us-live-internal" source="file.csi.azure.com" volumeid="csi-bf62b8b3e0e84933bc067255e0c9752d8ec796b7e4fff50e9787d44ecc706edc"
Aug 17, 2026 @ 16:00:04.995	I0817 16:00:04.995626    7833 nodeserver.go:865] already mounted to target /var/lib/kubelet/pods/66bfba8d-b871-4c3f-8a2b-32d377c1c821/volumes/kubernetes.io~csi/msrd-22-msrd-22-69470cfd37918d0f413109b7ebaa21a6e91824a61bc95d5/mount
Aug 17, 2026 @ 16:00:04.993	I0817 16:00:04.993514 3463646 nodeserver.go:865] already mounted to target /var/lib/kubelet/pods/cf4ce72c-4dfb-48ea-85d8-28117d823d3a/volumes/kubernetes.io~csi/request-processor-req-processor-f8dd7eb6527501ab697cae617e38315/mount
Aug 17, 2026 @ 16:00:04.993	I0817 16:00:04.993158 3463646 nodeserver.go:865] already mounted to target /var/lib/kubelet/pods/14dc6739-5c40-4188-a01a-023c2f2ce26a/volumes/kubernetes.io~csi/sparq-engine-t-0e429ce621df2abaacf475fc8db0523b6abd602427823eda/mount
